iter	Passed	Remaining
0	137	137478
1	138	69048
2	139	46278
3	140	34879
4	140	28028
5	141	23430
6	142	20150
7	142	17696
8	143	15790
9	144	14277
10	145	13038
11	145	12000
12	146	11116
13	147	10357
14	147	9687
15	148	9108
16	148	8603
17	149	8166
18	150	7772
19	151	7411
20	152	7087
21	152	6794
22	153	6529
23	154	6279
24	154	6044
25	155	5831
26	156	5640
27	157	5457
28	158	5302
29	159	5143
30	159	4993
31	160	4852
32	161	4719
33	161	4593
34	162	4474
35	162	4359
36	163	4255
37	164	4153
38	164	4059
39	165	3968
40	166	3883
41	166	3802
42	167	3724
43	167	3649
44	168	3582
45	169	3514
46	170	3448
47	170	3388
48	171	3331
49	172	3276
50	173	3221
51	173	3168
52	174	3116
53	175	3067
54	175	3017
55	176	2971
56	176	2924
57	177	2881
58	178	2841
59	178	2800
60	179	2761
61	180	2724
62	180	2688
63	181	2652
64	182	2618
65	183	2594
66	184	2565
67	184	2534
68	185	2506
69	186	2475
70	186	2445
71	187	2418
72	188	2391
73	189	2365
74	189	2343
75	190	2318
76	191	2294
77	192	2271
78	192	2249
79	193	2228
80	194	2206
81	195	2185
82	195	2160
83	196	2140
84	196	2120
85	197	2100
86	198	2080
87	198	2060
88	199	2041
89	200	2023
90	200	2005
91	201	1989
92	202	1973
93	202	1955
94	203	1937
95	204	1922
96	204	1908
97	205	1893
98	206	1879
99	207	1864
100	207	1849
101	208	1836
102	209	1823
103	210	1809
104	210	1796
105	211	1783
106	212	1769
107	212	1756
108	213	1743
109	213	1730
110	214	1719
111	215	1707
112	215	1694
113	216	1684
114	217	1673
115	218	1662
116	218	1650
117	219	1638
118	219	1628
119	220	1617
120	221	1608
121	221	1596
122	222	1587
123	223	1576
124	223	1567
125	224	1557
126	225	1547
127	225	1538
128	226	1529
129	227	1520
130	228	1512
131	228	1504
132	229	1495
133	229	1486
134	230	1477
135	231	1469
136	232	1461
137	232	1453
138	233	1445
139	233	1437
140	234	1430
141	235	1421
142	236	1414
143	236	1406
144	237	1400
145	238	1392
146	238	1384
147	239	1377
148	240	1371
149	240	1364
150	241	1356
151	242	1350
152	242	1344
153	243	1338
154	244	1331
155	244	1325
156	245	1318
157	246	1311
158	246	1305
159	247	1299
160	248	1292
161	248	1287
162	249	1281
163	250	1275
164	251	1271
165	252	1266
166	252	1261
167	253	1256
168	254	1251
169	255	1245
170	255	1240
171	256	1234
172	257	1229
173	257	1223
174	258	1218
175	259	1213
176	259	1208
177	260	1203
178	261	1198
179	261	1193
180	262	1188
181	263	1184
182	264	1180
183	265	1175
184	265	1170
185	266	1166
186	267	1161
187	267	1156
188	268	1151
189	269	1147
190	270	1143
191	270	1139
192	271	1134
193	272	1130
194	272	1126
195	273	1121
196	274	1117
197	274	1112
198	275	1109
199	276	1105
200	277	1102
201	277	1097
202	278	1093
203	278	1088
204	279	1084
205	280	1080
206	281	1077
207	281	1073
208	282	1069
209	283	1065
210	283	1061
211	284	1057
212	285	1054
213	285	1050
214	286	1046
215	287	1042
216	287	1039
217	288	1035
218	289	1031
219	289	1027
220	290	1023
221	291	1020
222	291	1016
223	292	1013
224	293	1009
225	293	1005
226	294	1002
227	295	999
228	295	995
229	296	992
230	297	988
231	297	985
232	298	982
233	299	978
234	299	975
235	300	971
236	300	968
237	301	964
238	301	961
239	302	958
240	303	955
241	304	952
242	304	949
243	305	946
244	306	943
245	306	939
246	307	936
247	308	934
248	308	930
249	309	927
250	309	924
251	310	921
252	311	918
253	311	915
254	312	912
255	312	909
256	313	906
257	314	903
258	314	901
259	315	898
260	316	894
261	316	891
262	317	888
263	317	885
264	318	882
265	318	879
266	319	876
267	320	874
268	320	871
269	321	868
270	321	865
271	322	862
272	322	859
273	323	856
274	323	853
275	324	851
276	325	848
277	325	846
278	326	843
279	327	841
280	327	838
281	328	835
282	328	833
283	329	830
284	330	828
285	330	825
286	331	822
287	331	820
288	332	817
289	333	815
290	333	812
291	334	810
292	335	808
293	335	806
294	336	803
295	336	801
296	337	798
297	337	795
298	338	793
299	338	790
300	339	787
301	339	785
302	340	783
303	341	781
304	341	778
305	342	776
306	342	774
307	343	771
308	344	769
309	344	766
310	345	764
311	345	762
312	346	759
313	346	758
314	347	755
315	348	753
316	348	751
317	349	749
318	349	747
319	350	744
320	351	742
321	351	740
322	352	738
323	353	736
324	353	734
325	354	732
326	354	730
327	355	728
328	356	726
329	356	724
330	357	722
331	358	720
332	358	718
333	359	716
334	359	714
335	360	712
336	360	710
337	361	707
338	362	706
339	362	704
340	363	702
341	364	700
342	364	698
343	365	696
344	366	694
345	366	692
346	366	690
347	367	688
348	368	686
349	368	685
350	369	683
351	370	681
352	370	679
353	371	677
354	372	676
355	372	674
356	373	672
357	374	671
358	374	669
359	375	667
360	376	666
361	377	664
362	377	662
363	378	661
364	379	660
365	380	658
366	380	657
367	381	655
368	382	653
369	383	652
370	384	651
371	385	650
372	386	649
373	387	648
374	387	646
375	388	644
376	389	643
377	390	642
378	391	640
379	391	639
380	392	637
381	393	636
382	394	635
383	395	633
384	395	632
385	396	630
386	397	629
387	398	627
388	398	626
389	399	624
390	400	623
391	401	622
392	401	620
393	402	619
394	403	617
395	403	616
396	404	614
397	405	612
398	405	611
399	406	610
400	407	608
401	408	607
402	409	606
403	409	604
404	410	603
405	411	601
406	412	600
407	412	598
408	413	597
409	414	596
410	414	594
411	415	593
412	416	591
413	417	590
414	417	589
415	418	587
416	419	586
417	420	585
418	420	583
419	421	582
420	422	580
421	423	579
422	423	578
423	424	576
424	425	575
425	426	574
426	427	573
427	427	571
428	428	570
429	429	569
430	430	567
431	430	566
432	431	565
433	432	564
434	433	563
435	434	561
436	434	560
437	435	559
438	436	557
439	437	556
440	437	554
441	438	553
442	439	552
443	440	551
444	441	550
445	441	548
446	442	547
447	443	546
448	444	544
449	444	543
450	445	542
451	446	541
452	447	539
453	447	538
454	448	537
455	449	536
456	450	535
457	451	534
458	452	533
459	452	531
460	453	530
461	454	529
462	455	528
463	456	526
464	456	525
465	457	524
466	458	523
467	458	521
468	459	520
469	460	519
470	461	518
471	462	517
472	463	515
473	463	514
474	464	513
475	465	512
476	466	511
477	466	509
478	467	508
479	468	507
480	469	506
481	470	505
482	471	504
483	471	503
484	472	502
485	473	500
486	474	499
487	475	498
488	475	497
489	476	496
490	477	494
491	478	493
492	478	492
493	479	491
494	480	489
495	480	488
496	481	487
497	482	486
498	483	485
499	484	484
500	484	482
501	485	481
502	486	480
503	486	479
504	487	478
505	488	476
506	489	475
507	489	474
508	490	473
509	491	472
510	491	470
511	492	469
512	493	468
513	494	467
514	495	466
515	496	465
516	496	464
517	497	463
518	498	462
519	499	460
520	500	459
521	500	458
522	501	457
523	502	456
524	502	454
525	503	453
526	504	452
527	505	451
528	506	450
529	507	449
530	507	448
531	508	447
532	508	445
533	509	444
534	510	443
535	511	442
536	512	441
537	512	440
538	513	439
539	514	438
540	514	436
541	515	435
542	516	434
543	517	433
544	518	432
545	518	431
546	519	430
547	520	429
548	521	428
549	522	427
550	522	425
551	523	424
552	524	423
553	524	422
554	525	421
555	526	420
556	527	419
557	528	418
558	528	417
559	529	416
560	530	414
561	530	413
562	531	412
563	532	411
564	533	410
